student_id,family_code,student_name,session,class_id,section_id,gr_no,gender,religion,dob,date_of_admission,status,whatsapp_number,father_cell_no,mother_cell_no,home_cell_no,place_of_birth,state,city,email,father_name,mother_name,home_address,created_at,student_image,admission_fee,monthly_fee,cnic
141,FC3324,John Sullivan,1,8,6,GR1141,Male,Sikhism,10/2/2015,4/13/2022,Active,467.832.5225,001-485-255-6276x275,001-507-643-1097x73392,001-780-560-8876x315,New Marissa,Colorado,North Garyside,alexandra67@example.net,Benjamin Monroe,Tracy Robbins,"954 Wagner Island, Stricklandshire, WI 59445",4/11/2025 6:32,default_student_1.jpg,3292,716,72208-3089555-9
142,FC8334,Jill Matthews,1,12,6,GR1142,Male,Sikhism,2/12/2008,9/27/2023,Inactive,+1-429-503-3238x785,001-566-753-8691,898-660-3075x452,(382)826-9073x49423,North Kendra,Nevada,Jillbury,amber98@example.com,Alan Mason,Joanna Lowe,"0804 Stewart Streets Suite 134, Jonathanburgh, VI 84223",4/11/2025 6:32,default_student_2.jpg,2545,660,84053-9479872-6
143,FC4826,Brianna Mckenzie,1,10,7,GR1143,Female,Islam,6/14/2019,9/30/2022,Inactive,+1-476-672-0505x1390,001-603-689-0102x07922,358.219.5059,444-672-2847x11754,Sandraport,Minnesota,Patrickton,frankbennett@example.com,Jason Clark,Debbie Bryan MD,"6003 Ruiz Gateway, Destinymouth, VT 34612",4/11/2025 6:32,default_student_3.jpg,3963,512,82412-7792427-8
144,FC4669,Tanya Dickson,1,9,7,GR1144,Female,Christianity,9/3/2012,12/5/2022,Active,(318)560-6481,(959)359-9906,+1-427-903-8382x75149,+1-719-891-8887x28588,Port Rebeccaberg,Minnesota,Sanchezmouth,warnerchristina@example.org,Jason Dixon,Carly Sullivan,"372 Byrd Canyon, Lake Austin, AZ 73029",4/11/2025 6:32,default_student_4.jpg,2805,1080,57182-9156837-3
145,FC9558,Justin Vega,1,9,4,GR1145,Male,Christianity,10/7/2018,1/26/2024,Inactive,631.454.3321x65974,2908891657,962-637-0128x4795,839-498-6654,Ellisport,Kansas,Jocelynborough,martinandres@example.com,Matthew Kemp,Stacy Smith,"06499 Donald Curve, West Taylor, OH 59143",4/11/2025 6:32,default_student_5.jpg,1150,1184,91498-3690311-8
146,FC7394,Jocelyn Taylor MD,1,12,5,GR1146,Male,Sikhism,8/8/2012,7/23/2024,Active,001-707-732-9618x09114,-4108,+1-619-660-1797x261,9255854973,Jonesview,Kansas,Roblesbury,savagemark@example.org,Matthew Lee,Cindy Rodriguez,"4003 John Ridges, Elaineborough, SC 58650",4/11/2025 6:32,default_student_6.jpg,4223,1194,99402-9739453-4
147,FC6374,Jonathan Barnes,1,7,7,GR1147,Male,Sikhism,6/21/2011,4/14/2022,Active,(512)916-5100x2646,718-521-5394,+1-406-424-7264x19942,(206)249-1658x8042,Kellyfort,New Mexico,North Vincentport,ramirezscott@example.net,Zachary Leblanc,Amber Conner,"12620 Kemp Gateway, West Isaac, CO 83583",4/11/2025 6:32,default_student_7.jpg,1995,1498,89163-6329911-9
148,FC4217,Kyle Greene,1,5,5,GR1148,Male,Sikhism,3/10/2010,12/3/2024,Active,001-224-630-0619x85330,+1-715-995-1359x8344,8982455830,(549)970-4811,North Christinaborough,Massachusetts,Freemanville,jdickson@example.net,Brian Weaver,Katherine Davis,"30218 Riley Squares, Bryantburgh, MD 66959",4/11/2025 6:32,default_student_8.jpg,3706,1901,24293-9652376-7
149,FC5692,Mandy Carroll,1,15,5,GR1149,Male,Hinduism,10/4/2013,1/14/2024,Inactive,001-783-500-8036x02024,7756799385,(329)310-7051x322,(442)494-4056x752,Moranbury,Colorado,South William,christopher90@example.org,David Valentine,Melanie Paul,"PSC 5803, Box 8687, APO AE 90838",4/11/2025 6:32,default_student_9.jpg,3938,1397,61225-8363500-6
150,FC8677,Alejandra Vaughn,1,8,4,GR1150,Male,Sikhism,12/13/2016,3/14/2021,Inactive,500.653.0708,001-825-843-7009x9475,840-210-5772x31124,387-448-9943,New Heather,Alabama,North Catherine,abigail60@example.org,Keith Harris,Victoria Rollins,"3980 Gray Divide Suite 131, West Stephanie, NE 18370",4/11/2025 6:32,default_student_0.jpg,3898,1607,37527-7171940-1
151,FC1348,Cassie Miller,1,6,7,GR1151,Female,Christianity,3/10/2007,1/31/2023,Active,671-868-1315,+1-444-720-6515x95631,(289)805-1688,+1-828-217-3540x7600,Port Joshua,North Dakota,Kimberlymouth,sandra36@example.org,Micheal Rogers,Andrea Fischer,"143 Thomas Canyon, Peggyborough, PW 95189",4/11/2025 6:32,default_student_1.jpg,4934,1869,27875-9906011-8
152,FC6056,Jaime Henry,1,6,7,GR1152,Male,Christianity,4/17/2008,1/11/2025,Inactive,525-501-0739x5630,275.289.2537x0959,001-850-278-8688x40181,240.903.0504x79649,Stephaniehaven,New York,Sullivanhaven,larrywells@example.com,Mr. Ryan Carroll,Amy Ray,"846 West Burg Apt. 609, Kevinchester, AR 06965",4/11/2025 6:32,default_student_2.jpg,3527,1237,50905-2404474-1
153,FC4917,Elizabeth Hernandez DVM,1,7,7,GR1153,Female,Islam,8/8/2014,2/18/2023,Inactive,793.499.0088,+1-587-868-8832x6960,4836357189,+1-977-454-6529x7551,West Caitlin,Maryland,Jacksonborough,robertmurphy@example.org,Andrew Spencer,Meredith Reyes,"8106 Samuel Track, Steveview, NE 81680",4/11/2025 6:32,default_student_3.jpg,2140,949,60163-7443479-9
154,FC6566,Ricky Davis,1,6,4,GR1154,Male,Hinduism,9/7/2011,4/9/2024,Inactive,(367)411-3108,603-911-1213,001-529-994-2305,(317)975-0831x372,Lake Roseville,Indiana,South Anthonystad,natasha01@example.com,Daniel Green,Jeanette Benson,"19998 Kelly Villages, Howardmouth, PR 30950",4/11/2025 6:32,default_student_4.jpg,1259,1579,72841-8293044-6
155,FC7316,Parker Braun,1,11,5,GR1155,Male,Islam,4/24/2018,2/22/2023,Active,(490)226-7574x1815,001-656-452-3098x72963,8983770962,9014329854,Nicolemouth,Indiana,Marystad,johnsonvalerie@example.net,Kenneth Middleton,Barbara Green,"Unit 9396 Box 8569, DPO AP 72699",4/11/2025 6:32,default_student_5.jpg,3889,1380,42490-1533354-5
156,FC5328,Bryan Martinez,1,10,6,GR1156,Female,Christianity,10/7/2017,10/5/2021,Active,3137388877,953-671-1172,001-617-629-8482x93100,001-473-378-9356x3689,Lake Ronald,Indiana,Eddieview,daniel25@example.net,Zachary Schwartz,Ashley Conner,"2264 Bradley Lake Apt. 475, Lake Sarah, IL 88158",4/11/2025 6:32,default_student_6.jpg,2387,1555,82382-1234105-3
157,FC9117,Mercedes Lopez,1,10,5,GR1157,Female,Islam,10/4/2014,4/23/2023,Inactive,(271)511-3136x3373,+1-820-862-0856x1560,(355)865-5651x888,+1-213-914-1443x7924,Cynthiaville,Connecticut,Vanessaborough,john59@example.net,Richard Harris,Melissa Garcia,"5261 Jenkins Cove Apt. 375, Richardfort, PR 04424",4/11/2025 6:32,default_student_7.jpg,4912,638,42967-2748028-9
158,FC2230,Nicholas Johnson,1,5,5,GR1158,Female,Islam,7/29/2012,1/26/2023,Active,627.470.8400,368-665-6334,(922)529-2445x64215,(777)583-4105,East Jacquelinefort,Washington,Patriciaside,fsanchez@example.com,Ryan Howell,Sandra Lawson,"77329 Samantha Way Apt. 609, Lake Isabel, WV 32905",4/11/2025 6:32,default_student_8.jpg,1725,1920,96948-4861339-7
159,FC4299,Ryan Marsh,1,7,6,GR1159,Female,Christianity,7/31/2016,6/24/2024,Active,289-985-1371,2274312699,(955)299-5034x24244,7566909353,New Clarencemouth,North Dakota,West Becky,adamsmatthew@example.com,Scott Flynn,Amanda Miller,"9914 Cox Ramp, North Cynthia, FL 91736",4/11/2025 6:32,default_student_9.jpg,2907,1142,26838-5644272-9
160,FC1007,Debra Leon,1,9,6,GR1160,Male,Islam,3/6/2017,5/12/2023,Active,001-257-385-8237x359,516-283-7167,001-796-928-9553x4091,8244167294,Port Hectorview,Vermont,Port Julie,wsmith@example.com,Bradley Duncan,Rebecca Herrera,"307 Ferguson Radial, Ruthfort, CA 57335",4/11/2025 6:32,default_student_0.jpg,2197,734,31821-5618859-4
161,FC9400,Theresa Lloyd,1,6,7,GR1161,Female,Islam,1/16/2020,3/30/2024,Active,(692)666-0640x4309,(895)433-2499x611,001-274-608-5070x055,(741)544-5672,Lake Brittany,Maryland,Port Jameschester,mariah05@example.org,Brandon Chavez,Susan Clark,"USNV Fritz, FPO AA 77331",4/11/2025 6:32,default_student_1.jpg,3431,1448,52484-3921493-5
162,FC4949,Melissa Smith,1,5,4,GR1162,Male,Hinduism,1/1/2017,12/20/2021,Active,212.319.0997,(277)716-3708x75478,+1-777-939-3144x051,322.538.0624x58338,Port Suzanne,South Carolina,East Eric,peterpatterson@example.com,Antonio Washington,Melanie Barnes,"Unit 9199 Box 5383, DPO AP 13245",4/11/2025 6:32,default_student_2.jpg,4567,1854,51040-6317107-9
163,FC5709,Shawn Klein,1,16,5,GR1163,Female,Islam,7/4/2011,10/9/2023,Inactive,(310)301-0458x954,344.698.0682,001-701-239-2071x515,(814)586-4618x85555,Lake Mary,West Virginia,Gibsonmouth,ymathis@example.net,Gary Lawson,Cathy Thomas,"Unit 0875 Box 9633, DPO AA 42282",4/11/2025 6:32,default_student_3.jpg,2714,1075,86340-4782253-5
164,FC6124,Thomas Burns,1,16,4,GR1164,Female,Hinduism,1/28/2011,1/1/2023,Active,(414)210-2498,6206107500,001-460-529-6419x417,247.971.6259x6355,New Joseph,Connecticut,Port Leahview,conleykeith@example.com,Richard Gaines,Patricia Johnson,"68293 Christopher Station Suite 365, Kellyhaven, VI 04993",4/11/2025 6:32,default_student_4.jpg,3132,605,40279-9008098-7
165,FC1501,Jake Davis,1,9,4,GR1165,Male,Christianity,7/24/2009,7/24/2024,Inactive,(651)377-1815,(324)738-9068,+1-222-659-8565x0273,001-322-320-3381x177,Pattersonburgh,Tennessee,East Bianca,ntran@example.org,Jesse Bennett,Mary Ingram,"051 Marcus Knolls, Grantstad, AZ 80816",4/11/2025 6:32,default_student_5.jpg,1062,1241,78876-7944167-2
166,FC9639,Jessica Mcguire,1,9,6,GR1166,Female,Sikhism,4/23/2010,11/29/2023,Inactive,(454)589-9992,8332837256,001-918-618-4402,001-570-212-1931x0010,Bowmanmouth,Wisconsin,Kaitlynview,derekwatson@example.com,Jack Grant,Julie Frazier,"14486 Hudson Fields, Patrickstad, WY 89604",4/11/2025 6:32,default_student_6.jpg,3856,619,31526-9795187-6
167,FC4317,Barbara Ellis,1,8,6,GR1167,Male,Christianity,5/20/2013,7/24/2024,Inactive,+1-644-584-3043x557,001-232-568-4018,(863)916-2928x348,(531)908-5950x76949,East Carolyn,South Carolina,Patriciaburgh,harrellmark@example.net,Jason Good,Veronica Jones,"87987 Meyer Ford Suite 199, South Jennifer, PW 05278",4/11/2025 6:32,default_student_7.jpg,3228,555,33756-4902941-7
168,FC3569,Thomas Vincent,1,14,5,GR1168,Male,Hinduism,11/8/2011,8/15/2022,Active,001-565-937-2138,332.586.1327,+1-954-880-2021x9035,+1-474-524-7779x34889,West David,Minnesota,Kimshire,russellchristina@example.com,Alan Romero,Emily Mercado,"8869 Miller Fall Apt. 318, Johnfort, NM 01937",4/11/2025 6:32,default_student_8.jpg,3957,1443,36186-2046335-7
169,FC3749,Wendy Smith,1,8,7,GR1169,Female,Islam,5/3/2015,3/5/2021,Active,(664)293-7596,8058124040,3167843341,(280)853-4607x9521,Lake Jennifer,Maine,West Kevinmouth,rachelhill@example.net,Joshua Castillo,Ashley Young,"065 Michael Forest Suite 267, Port Andrew, NH 83822",4/11/2025 6:32,default_student_9.jpg,4505,676,79836-1195501-2
170,FC1172,John Bradford,1,12,6,GR1170,Female,Hinduism,6/2/2011,9/6/2022,Inactive,(602)229-2593,992.859.0882x683,555.894.9689,602-421-6730x96197,South Mauricestad,South Dakota,Dakotatown,cgriffin@example.org,Victor Glover,Andrea Adams,"7765 Gomez Estate Suite 187, Timothyland, IA 82799",4/11/2025 6:32,default_student_0.jpg,2057,1987,20044-3646019-4
171,FC4438,Henry Herman,1,13,4,GR1171,Female,Christianity,3/13/2009,1/23/2025,Inactive,461.296.8035,001-916-280-5199x2149,891.820.3415x25309,916-398-8108,Jerryview,North Carolina,North Derekborough,osantana@example.net,Dustin Schwartz,Angela Willis,"51545 Shelton Point Suite 958, Matthewberg, PW 20252",4/11/2025 6:32,default_student_1.jpg,3908,1854,27627-9551117-5
172,FC1221,Emily Anderson,1,15,6,GR1172,Female,Hinduism,8/27/2011,2/20/2021,Inactive,001-976-628-5837x6325,323-253-0381,001-357-690-9227x1958,480.302.1372,New Brooke,Alaska,Katieport,lisaharris@example.org,Brandon Carr,Jennifer Moore,"981 Edward Hill, Cynthiashire, ID 96316",4/11/2025 6:32,default_student_2.jpg,1547,546,72842-4348856-7
173,FC6560,Alyssa Marquez,1,12,5,GR1173,Female,Hinduism,9/14/2013,8/20/2022,Inactive,377-376-1128x1308,(651)957-9673x80673,+1-887-750-6304x8296,814-643-6557x7372,South Markside,Wisconsin,West Melissashire,frank37@example.com,David Phillips,Leslie Johnson,"60001 Jennifer Junctions Apt. 580, Johnfurt, PW 20912",4/11/2025 6:32,default_student_3.jpg,2429,1806,89048-7387185-7
174,FC7574,Juan Vazquez,1,8,7,GR1174,Male,Hinduism,7/10/2019,10/18/2024,Active,5417578197,001-536-264-1597x5789,(447)856-4370x45325,631-477-6704x88300,Jenniferhaven,Georgia,Dixonborough,andersonmarissa@example.net,Rick Woodard,Laurie Leonard,"6152 Denise Springs, South Bettyhaven, SD 29170",4/11/2025 6:32,default_student_4.jpg,3087,787,88297-9680252-9
175,FC9295,Alison Weaver,1,9,7,GR1175,Female,Sikhism,12/21/2013,4/22/2022,Active,409-355-4899x357,-4470,642.416.7611x42139,8942273391,Aaronview,Massachusetts,Lake Patricia,zturner@example.com,Brandon Williams,Veronica David,"USCGC Allen, FPO AP 81170",4/11/2025 6:32,default_student_5.jpg,4233,1994,35470-5311607-8
176,FC2126,Matthew Allen,1,14,4,GR1176,Female,Islam,7/16/2012,11/22/2022,Active,339.210.0530x3670,522-559-1159x5118,(720)240-7169x80623,(718)613-5750x234,West Alexmouth,Oklahoma,Dianaport,wardstanley@example.org,Nicholas Smith,Judith Payne,"99025 Michael Trail Suite 215, New Edward, NM 78616",4/11/2025 6:32,default_student_6.jpg,4848,878,91022-3912297-6
177,FC5385,Nancy Baker,1,5,5,GR1177,Female,Christianity,2/15/2011,2/19/2024,Inactive,(526)796-3118x92064,520.555.3086x8800,001-908-667-4017x9021,9655564673,Amandachester,Missouri,North Christopher,browntammy@example.net,Joseph Wilson,Melissa Thompson,"11680 Timothy Rest Suite 569, Dylanhaven, MA 24353",4/11/2025 6:32,default_student_7.jpg,4371,1523,57615-6951181-2
178,FC8076,Nicole Swanson,1,17,5,GR1178,Male,Hinduism,5/8/2016,4/24/2024,Inactive,612-863-5820x2850,(398)247-2757x3392,(734)989-2406x226,001-716-832-4967x9872,Marshstad,Alabama,Morganstad,christopher29@example.com,Michael Melendez,Jeanne Lopez,"69382 Hoover Estate Suite 315, New Julie, GU 63910",4/11/2025 6:32,default_student_8.jpg,4024,927,60325-4301891-6
179,FC4022,Patrick Johnson,1,15,5,GR1179,Female,Christianity,4/22/2010,8/9/2020,Active,(578)488-6012,852-419-2103x434,001-344-944-3098x71095,4982953427,East Tanya,Indiana,Andersonside,garciasarah@example.net,Todd Liu,Virginia Phillips,"967 Tamara Crest, North Nicholeshire, AZ 59245",4/11/2025 6:32,default_student_9.jpg,1221,1393,89230-1525976-3
180,FC9232,Donald Tucker,1,9,6,GR1180,Male,Islam,5/20/2010,11/3/2020,Inactive,(616)676-7196,6339499957,264-814-0835,001-373-354-4015x0760,Emilyhaven,Alabama,South Lisastad,courtney07@example.com,Stephen Knox,Sabrina Jones,"PSC 8299, Box 2773, APO AP 91864",4/11/2025 6:32,default_student_0.jpg,4979,782,51434-5603459-8
181,FC8884,Steve Cooper,1,15,4,GR1181,Female,Christianity,9/21/2010,11/12/2023,Active,-8632,001-685-971-8296x81386,+1-251-237-1843x421,718-293-1563x96000,Hendrickston,Nevada,East Jessica,danielwilliams@example.com,Todd Price,Michelle Russell,"93619 Wall Walks Apt. 753, Lindatown, IA 12573",4/11/2025 6:32,default_student_1.jpg,3098,1030,83259-7787392-8
182,FC7902,Christopher Jensen,1,17,5,GR1182,Male,Islam,10/3/2008,7/23/2024,Active,(372)758-3529,001-595-328-4356,(750)729-6203x03720,5897284075,New Emilytown,Minnesota,Jamietown,jenniferbaker@example.org,John Miller,Sierra Morgan,"6830 Mitchell Station, Stevenville, VA 84821",4/11/2025 6:32,default_student_2.jpg,4058,1487,48562-2677849-7
183,FC5296,Virginia Parrish,1,15,6,GR1183,Male,Islam,4/19/2017,10/13/2022,Active,785.584.4535x077,(258)278-9753,376.461.1254,790-266-8310,North Sarahville,South Carolina,New Meganmouth,cclark@example.net,Justin Chase,Natasha Mcdonald,"8409 Griffin Squares Apt. 770, Lake Judyburgh, WI 00546",4/11/2025 6:32,default_student_3.jpg,3489,530,28152-3061358-7
184,FC7308,Kevin Shaw,1,10,5,GR1184,Male,Sikhism,6/2/2017,1/7/2025,Active,(450)791-3156,(474)950-0001x83122,(662)734-1181x2186,7884738887,Lake Alexander,Virginia,Lake Monicachester,dguerrero@example.com,Keith Moore,Joan Gallagher,"356 Heather Light, New Christophershire, GA 54188",4/11/2025 6:32,default_student_4.jpg,1199,928,64056-1463230-1
185,FC7543,Jesse Crane,1,11,7,GR1185,Male,Sikhism,9/27/2017,3/24/2025,Active,326-294-1177,001-862-623-6793x299,+1-852-979-3828x31820,332-746-1846x7110,Brianside,Wisconsin,New Molly,proctorheather@example.org,Jeff Mendez MD,Alyssa Anderson,"4810 Daniel Stravenue, South Amberside, NC 01748",4/11/2025 6:32,default_student_5.jpg,3296,760,94442-4478153-3
186,FC2462,Maria Hart,1,9,6,GR1186,Male,Sikhism,10/16/2016,5/12/2022,Active,(685)630-2335,+1-491-586-0159x369,942-244-3598x491,872.925.8720,Amandaview,Idaho,Lindahaven,tristan13@example.net,Eric Lee,Amanda Bailey,"3109 Craig Squares Apt. 787, Lake Melissaland, KY 17691",4/11/2025 6:32,default_student_6.jpg,4542,1803,16756-9782357-2
187,FC1168,Bryan David,1,17,5,GR1187,Male,Islam,8/25/2018,11/17/2020,Inactive,(937)532-9505,538.972.8300x0830,001-847-239-3546x70083,001-399-828-0242,Hollowayfurt,Hawaii,South Jeffreyberg,hullnathan@example.com,James Myers,Shirley Simmons,"66696 Maria Station Apt. 611, Hancockton, PR 52374",4/11/2025 6:32,default_student_7.jpg,1026,1162,29052-6540926-2
188,FC2411,Lisa Long,1,9,7,GR1188,Female,Sikhism,7/27/2009,7/14/2021,Inactive,248.209.0005,(567)966-9542x44834,911-633-0150x644,409.932.8096,Nicolasfurt,Alaska,West Ruthchester,lewistiffany@example.net,Edward Wagner,Christina Powell,"820 Jackson Crossroad, Bullockchester, PA 75534",4/11/2025 6:32,default_student_8.jpg,3194,1578,21056-2356786-6
189,FC8188,Carrie Anderson,1,13,7,GR1189,Female,Islam,6/3/2013,10/31/2020,Active,821.902.6685,531.205.7266x3756,(369)365-8168x0062,(708)238-2357x76754,North Katelyn,Washington,South Patrick,austingarcia@example.com,Allen Steele,Brandi Campbell,"2179 Jason Harbor Apt. 756, West Donaldville, MI 38356",4/11/2025 6:32,default_student_9.jpg,1588,1819,62377-9580549-6
190,FC3427,Maria Mckee,1,7,4,GR1190,Female,Islam,11/24/2012,3/8/2022,Active,(793)403-1159x3383,818-530-6600x621,001-556-274-8987x364,403-608-0500x197,East Ryan,Vermont,West Kathyview,brianna30@example.net,Richard Robertson,Patricia Foster,"90006 Vanessa Road Suite 480, Whitetown, NC 98188",4/11/2025 6:32,default_student_0.jpg,3147,1048,84093-6078596-6
191,FC8814,Tyler Roberts,1,16,7,GR1191,Female,Christianity,2/27/2015,8/29/2022,Active,001-751-978-7744x5405,284-537-2148x9127,(544)495-6115x77474,650.930.1807,Friedmanchester,Vermont,East Kimberly,joshua72@example.com,Ryan Miller,Anita Thompson,"557 Colon Plain, Samanthaberg, MD 73650",4/11/2025 6:32,default_student_1.jpg,3970,1286,57970-6742235-9
192,FC1112,David Hudson,1,12,4,GR1192,Female,Sikhism,12/15/2016,6/18/2022,Active,001-523-347-7781x5830,001-408-849-8719x09279,691-754-5047x64691,7416380333,Williamston,Massachusetts,Riosberg,suttonmatthew@example.com,Brent Wall,Kathryn Gonzalez,"286 Young Rapid, Julianview, OR 64392",4/11/2025 6:32,default_student_2.jpg,3235,549,77984-9519611-2
193,FC1659,Barbara Atkins,1,10,5,GR1193,Female,Hinduism,3/26/2012,8/14/2021,Inactive,(762)835-7195,924-760-1808x7170,424-462-8461,+1-252-857-7481x1211,Port Daltonhaven,Wisconsin,Jasonstad,mathew33@example.com,Maurice Nichols,Lynn Charles,"782 Ward Trafficway, Loganville, AL 83286",4/11/2025 6:32,default_student_3.jpg,2978,1358,10170-4962075-8
194,FC6640,Patrick Ware,1,17,7,GR1194,Male,Sikhism,9/20/2015,8/15/2021,Inactive,(571)514-4894x8850,(530)451-4758,522-493-3132x62078,001-486-423-8783x8753,North Joshua,Wyoming,Shaneview,browndavid@example.org,Donald Crosby,Kaitlin Morgan DDS,"65293 Cameron Fords, East Ambershire, MP 04560",4/11/2025 6:32,default_student_4.jpg,3805,1688,73398-4574029-1
195,FC8442,Terri Shaw,1,10,6,GR1195,Female,Christianity,4/12/2009,10/18/2022,Inactive,(787)638-9350,(363)754-1149,+1-800-870-7048x42530,434-484-3198,Littleshire,Arkansas,Levinetown,leetammy@example.org,Marc Schneider,Caitlin Harris,"0396 Mccann Course, Billychester, GA 07711",4/11/2025 6:32,default_student_5.jpg,2603,985,58317-7391822-5
196,FC4942,Stephanie Peterson,1,8,6,GR1196,Female,Christianity,9/9/2014,1/2/2023,Inactive,(576)901-2852,850-576-9773,(205)912-4012,898.346.7483,Billchester,Washington,Rosetown,david37@example.com,Nathan Jacobs,Sara Lopez,"89287 Sarah Villages Suite 430, Rojasview, CT 17368",4/11/2025 6:32,default_student_6.jpg,3555,1796,29197-6403170-4
197,FC3358,Tamara Espinoza,1,13,4,GR1197,Female,Sikhism,5/27/2014,4/4/2024,Active,540-399-6301x8263,315-917-8642,(348)400-3385x0573,001-337-334-1110x28363,New Kevinberg,Connecticut,Port Elizabeth,noah86@example.org,Rodney Cruz,Victoria Garcia,"3441 Monique Hills, Lake Toddbury, MH 81514",4/11/2025 6:32,default_student_7.jpg,3833,871,88685-7005197-4
198,FC2454,Javier Wheeler,1,9,7,GR1198,Female,Christianity,12/13/2016,3/28/2023,Inactive,(457)397-0351,(205)235-3078x47845,-6891,390.450.6573,Lake Annview,Texas,New James,christopherowen@example.com,Cameron Ortiz,Amanda Skinner,"68938 Robinson Parkways Suite 206, East Nicole, KY 70569",4/11/2025 6:32,default_student_8.jpg,4457,1332,51330-1347909-1
199,FC4147,Stephanie Orozco,1,13,7,GR1199,Male,Hinduism,3/9/2020,12/20/2020,Inactive,498-214-0774x9966,001-439-563-4005x5294,347-356-6428x509,(437)687-1199x351,South Miguelton,West Virginia,South Karen,danawest@example.com,Michael Melton,Sherri Morgan,"96131 Chelsea Pines Apt. 569, North Sean, FM 86737",4/11/2025 6:32,default_student_9.jpg,3820,1496,65021-6271087-7
200,FC1892,Luis Ortiz,1,10,5,GR1200,Female,Sikhism,2/15/2020,12/26/2020,Inactive,001-864-747-9597x853,315-732-7881x943,9745338854,616.385.4282x4421,Bernardstad,Kansas,East Brianton,shawn39@example.net,Michael Doyle,Julie Wiggins,"765 Anderson Expressway Suite 603, East Deniseberg, VA 18393",4/11/2025 6:32,default_student_0.jpg,3244,1349,73139-7291052-4
201,FC2469,Ashley Hahn,1,13,4,GR1201,Female,Islam,6/25/2009,12/16/2024,Active,733.499.1312x1701,001-844-696-8161x51557,(349)907-8031,001-795-477-6823x76949,South Victoria,Iowa,Port Gregoryview,robertjames@example.org,Phillip Peters,Heather Lutz,"291 Miguel Keys, South Aaronshire, NJ 45000",4/11/2025 6:32,default_student_1.jpg,1082,584,22514-6235988-2
202,FC7412,Nicole Dickerson,1,9,6,GR1202,Male,Christianity,12/8/2008,6/2/2024,Active,(256)252-8145x31313,-8124,872.914.3678x108,383-694-9162x4017,Judyport,Utah,Lake Juan,alexanderpruitt@example.com,Patrick Flores,Deanna King,"42749 Jessica Route, Kevintown, AS 79391",4/11/2025 6:32,default_student_2.jpg,1560,766,39925-5326495-8
203,FC5972,Bruce Welch,1,8,4,GR1203,Male,Sikhism,12/2/2010,2/7/2023,Active,001-330-417-5689x42728,428.690.5346x58823,001-593-413-5781,895-246-9255x518,New Ellenfurt,Washington,Arnoldton,gharvey@example.com,Daniel Perez,Heather Curry,"PSC 8539, Box 0390, APO AE 70510",4/11/2025 6:32,default_student_3.jpg,1814,1705,12253-6896330-9
204,FC8860,Amy Rios,1,6,6,GR1204,Male,Islam,11/12/2007,1/26/2024,Active,957-896-9759,001-328-238-3219,880.764.7838x4732,(608)563-4726x423,Rodgersmouth,Alaska,North Christopherfort,alexander35@example.org,Jimmy Williams,Carla Miller,"512 Andrews Greens Suite 943, East Jenniferport, DE 23579",4/11/2025 6:32,default_student_4.jpg,4374,924,85691-1056616-7
205,FC3083,Heather Elliott,1,13,4,GR1205,Female,Christianity,11/12/2011,9/1/2023,Active,+1-373-481-0392x99953,837-499-7737x51181,411.737.6396x032,+1-621-895-1525x94837,Port Mercedesfort,Alabama,Thomasside,patrickmyers@example.com,Roger Joyce,Erica Jones,"980 Rich Tunnel, East John, FM 38361",4/11/2025 6:32,default_student_5.jpg,2870,1148,97053-8425413-4
206,FC5511,Elizabeth Nelson DVM,1,10,7,GR1206,Female,Hinduism,10/26/2018,5/14/2024,Inactive,(885)785-4588,930.916.0984,612.349.5332x860,(376)217-4049x16845,Shafferbury,Massachusetts,Hutchinsonstad,elizabethgamble@example.com,Nathaniel Wilson,Kelly Padilla,"6036 Eric Loaf, East Rhonda, NY 02901",4/11/2025 6:32,default_student_6.jpg,1892,1085,82400-7584483-2
207,FC3870,Heather Sullivan,1,14,4,GR1207,Male,Sikhism,11/3/2013,6/26/2020,Active,847.792.5327x0892,001-421-644-9783,279-352-5169,262-645-2915x68624,New Robertborough,Idaho,Cindytown,murphychristina@example.org,Robert Robinson,Laura Wallace,"802 Stout Forest, Perezland, TX 92513",4/11/2025 6:32,default_student_7.jpg,2730,1035,80275-4272929-3
208,FC2121,Angel Miller,1,10,7,GR1208,Male,Hinduism,4/4/2011,6/26/2022,Inactive,+1-969-944-3254x773,936.443.4514,472-773-7026,(288)239-8639x348,North Noahstad,Delaware,Brentshire,kaitlyn21@example.com,Martin King V,Rachel Gray,"1200 Jonathan Cove, Jessicamouth, UT 22395",4/11/2025 6:32,default_student_8.jpg,4013,1978,60325-3111688-9
209,FC3489,Anna Conley,1,14,7,GR1209,Female,Christianity,2/9/2007,6/21/2024,Inactive,+1-681-521-3123x52583,001-820-893-1894x84291,(659)508-9259x5844,+1-282-723-6618x2157,West Randychester,Tennessee,West Rachelborough,tweeks@example.com,Brian Moreno,Kimberly Lucas,"0816 Andrew Camp Suite 649, Port Michael, OK 39080",4/11/2025 6:32,default_student_9.jpg,1833,1301,21498-2636948-9
210,FC7588,Christina Johnson,1,16,5,GR1210,Male,Christianity,1/29/2009,10/6/2021,Active,973-439-2194x012,(460)738-1956,(980)204-0900x29409,680-501-6238x5319,North Amyfurt,Maine,Watsontown,sdavis@example.com,Carlos Soto,Michele Hopkins,"522 Frazier Union Apt. 507, South Tiffanyfurt, CO 64189",4/11/2025 6:32,default_student_0.jpg,1985,694,88447-7341484-7
